Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,BIAS_24_L1
2016/10/31,17425.01953,157200000,17392.98789,17044.51035,17551.93509,16537.08561,80.50744967,17225.95215,17040.77993,185.1722256,142.3873998,42.78482575,-0.122607601,0.336621851,1.338469514,2.705756007,0.75,0.666666667,3.182324038,95.21997207,94.64978741,3.87963501,-21.390625,17446.41016,3.054672542
2016/11/1,17442.40039,123000000,17408.41797,17086.69688,17578.90579,16594.48796,78.75823701,17259.25188,17070.52959,188.7222903,151.6543779,37.06791242,0.09974657,0.236633268,1.15226401,2.617053977,0.75,0.666666667,0.596540472,98.46850476,97.89615894,3.476616139,17.38085938,17425.01953,2.705756007
2016/11/2,17134.67969,135200000,17356.98594,17106.64834,17571.93439,16641.36229,28.59111814,17240.08693,17075.28145,164.8054783,154.284598,10.52088028,-1.764210752,-1.313816326,-0.744786475,0.641557777,0.666666667,0.666666667,52.83199989,0,64.56282561,1.387922446,-307.7207031,17442.40039,2.617053977
2016/11/4,16905.35938,134800000,17270.77383,17110.9543,17567.02415,16654.88444,17.18391804,17188.59038,17062.69463,125.8957518,148.6068288,-22.71107693,-1.338340236,-2.177766918,-2.045615638,-0.756773767,0.583333333,0.625,99.04076138,0,32.82283492,-0.343382111,-229.3203125,17134.67969,0.641557777
2016/11/7,17177.21094,113000000,17216.93398,17124.85986,17571.0972,16678.62253,41.68755443,17186.8397,17071.17732,115.6623785,142.0179387,-26.35556019,1.608079169,-0.451858952,-0.556046587,0.660042979,0.583333333,0.666666667,49.75488957,50.24511043,16.74837014,1.048895368,271.8515625,16905.35938,-0.756773767
2016/11/8,17171.38086,100000000,17166.20625,17140.42441,17570.04162,16710.8072,33.88803837,17184.46142,17078.59981,105.8616111,134.7866732,-28.92506208,-0.033940773,-0.22058332,-0.559037843,0.485360334,0.5,0.625,50.83243688,49.16756312,33.13755785,-0.372017874,-5.830078125,17177.21094,0.660042979
2016/11/9,16251.54004,274900000,16928.03418,17101.76343,17679.63857,16523.88828,16.50922441,17040.93505,17017.33612,23.59893176,112.5491249,-88.95019314,-5.356824986,-4.480031211,-5.460221435,-4.785072467,0.5,0.583333333,100,0,33.13755785,-5.429572734,-919.8408203,17171.38086,0.485360334
2016/11/10,17344.41992,229400000,16969.98223,17126.98442,17700.9772,16552.99165,48.26733101,17087.62503,17041.56455,46.0604821,99.25139634,-53.19091424,6.724777345,2.041414977,0.843593251,1.487806297,0.5,0.583333333,8.535675377,91.46432462,46.87729591,0.638257629,1092.879883,16251.54004,-4.785072467
2016/11/11,17374.78906,241800000,17063.86816,17157.01187,17716.7054,16597.31833,54.70785748,17131.80411,17066.24785,65.55626659,92.51237039,-26.9561038,0.175094588,1.97998544,1.015496172,1.547735429,0.5,0.583333333,5.994048451,94.32248055,61.92893506,0.054931904,30.36914063,17344.41992,1.487806297
2016/11/14,17672.61914,165300000,17162.9498,17197.82437,17782.3645,16613.28423,64.65018154,17215.00642,17111.16424,103.8421864,94.77833359,9.063852811,1.714150756,2.955332517,2.607471464,3.084444202,0.5,0.625,0,100,95.26226839,1.614431247,297.8300781,17374.78906,1.547735429
